Processors,Rank,Score
Apple A15 Bionic,1,97
MediaTek Dimensity 9000,2,95
Snapdragon 8 Gen 1,3,94
Apple A14 Bionic,4,93
Snapdragon 888 Plus,5,91
Exynos 2200,6,91
Snapdragon 888 ,7,90
MediaTek Dimensity 8100,8,87
Google Tensor,9,85
Kirin 9000,10,85
Exynos 2100,11,82
Apple A13 Bionic,12,80
Snapdragon 870,13,78
Kirin 9000E,14,77
Exynos 1080,15,77
Snapdragon 865 Plus,16,77
MediaTek Dimensity 1200,17,76
MediaTek Dimensity 1100,18,74
Snapdragon 865,19,74
Exynos 990,20,70
MediatTek Dimensity 1000 Plus,21,69
Apple A12 Bionic,22,68
Snapdragon 860,23,67
Snapdragon 855 Plus,24,66
Kirin 990 (5G),25,65
Snapdragon 778G Plus,26,64
Snapdragon 780G,27,64
Snapdragon 855,28,63
Snapdragon 778G,29,62
Kirin 990 (4G),30,61
MediaTek Dimensity 920,31,60
Exynos 9825,32,60
MediaTek Dimensity 1000,33,59
Exynos 9820,34,59
MediaTek Dimensity 1000L,35,57
Kirin 985,36,56
Kirin 980,37,56
Kirin 820,38,55
Exynos 1280,39,54
MediaTek Dimensity 820,40,54
MediaTek Dimensity 9000,41,53
Snapdragon 768G,42,53
Snapdragon 854,43,53
Snapdragon 695,44,50
Apple A11 Bionic,45,50
Exynos 9810,46,50
Exynos 980,47,49
Snapdragon 765G,48,49
MediaTek Dimensity 8100,49,48
MediaTek Dimensity 800U,50,48
Snapdragon 765,51,48
Snapdragon 750G,52,47
Kirin 810,53,47
MediaTek Dimensity 800,54,46
Snapdragon 732G,55,45
Exynos 880,56,45
Snapdragon 480 Plus,57,44
MediaTek Dimensity 700,58,44
MediaTek Dimensity 720,59,44
Snapdragon 720G,60,44
Snapdragon 690,61,43
MediaTek Helio G90,62,43
Snapdragon 730G,63,43
MediaTek Helio G95,64,42
Snapdragon 835,65,42
Snapdragon 730,66,42
MediaTek Helio G96,67,41
MediaTek Helio G90T,68,41
Snapdragon 480 Plus,69,40
Apple A10 Fusion,70,40
Snapdragon 680,71,39
Kirin 970,72,39
Exynos 8895,73,39
MediaTek Helio P95,74,38
Snapdragon 712,75,38
Snapdragon 678,76,36
Snapdragon 712,77,36
Unisoc T618,78,34
Snapdragon 712,79,34
Snapdragon 675,80,34
MediaTek Helio P90,81,34
MediaTek Helio G88,82,33
MediaTek Helio G80,83,33
Kirin 960,84,33
MediaTek Helio G85,85,32
Exynos 9611,86,32
Exynos 9609,87,32
Snapdragon 670,88,32
Exynos 8890,89,32
Unisoc T616,90,31
Unisoc T700,91,31
Snapdragon 662,92,31
Apple A9,93,31
Snapdragon 665,94,31
MediaTek Helio G70,95,30
Kirin 710F,96,30
Kirin 710,97,30
Exynos 9610,98,30
Kirin 710A,99,29
Exynos 850,100,29
Snapdragon 460,101,29
MediaTek Helio G65,102,29
MediaTek Helio G70,103,29
Snapdragon 821,104,29
Snapdragon 660,105,29
Unisoc T606,106,28
Unisoc T610,107,28
MediaTek Helio P60,108,28
Exynos 7904,109,26
Snapdragon 636,110,26
Snapdragon 632,111,26
MediaTek Helio G35,112,25
Exynos 7885,113,24
Kirin 950,114,24
MediaTek Helio P35,115,24
MediaTek Helio A25,116,23
MediaTek Helio G25,117,23
Snapdragon 630,118,23
Exynos 7872,119,23
Kirin 955,120,23
MediaTek Helio P23,121,22
Exynos 7884B,122,22
Kirin 659,123,22
Exynos 7420,124,22
Snapdragon 439,125,22
