,Name,Brand,Display,HDH,Camera sau,Camera trước,Chip,Ram,Rom,Sim,Battery,Gia,Danh gia,So Luong,Link,Tên cửa hàng,Hieu nang / Gia
94,OPPO A95 8GB-128GB,OPPO,"6.43 inch, AMOLED, FHD+, 1080 x 2400 Pixels",Android 11,48.0 MP + 2.0 MP + 2.0 MP ,16.0 MP ,Snapdragon 662,8 GB,128 GB,2 - 2 Nano SIM ,5000 mAh,6990000,5.0,1,https://fptshop.com.vn/dien-thoai/oppo-a95,Cửa hàng FPT,643080000
47,Điện thoại OPPO A95,OPPO,"AMOLED,6.43"",Full HD+",Android 11,"Chính 48 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 662,8 GB,128 GB,2 Nano SIM,5000 mAh,6990000,4.0,263,https://www.thegioididong.com/dtdd/oppo-a95-4g?src=osp,Thế giới đi động,643080000
46,Điện thoại Vivo Y33s,Vivo,"IPS LCD,6.58"",Full HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,MediaTek Helio G80,8 GB,128 GB,2 Nano SIM,5000 mAh,6990000,4.1,32,https://www.thegioididong.com/dtdd/vivo-y33s?src=osp,Thế giới đi động,580170000
48,Điện thoại Vivo Y53s,Vivo,"IPS LCD,6.58"",Full HD+",Android 11,"Chính 64 MP & Phụ 2 MP, 2 MP",16 MP,MediaTek Helio G80,8 GB,128 GB,2 Nano SIM,5000 mAh,6990000,2.2,65,https://www.thegioididong.com/dtdd/vivo-y53s?src=osp,Thế giới đi động,580170000
58,Điện thoại OPPO A55,OPPO,"IPS LCD,6.5"",HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,MediaTek Helio G35,4 GB,64 GB,2 Nano SIM,5000 mAh,4990000,3.6,270,https://www.thegioididong.com/dtdd/oppo-a55-4g?src=osp,Thế giới đi động,558880000
33,Điện thoại Samsung Galaxy A52 128GB,Samsung,"Super AMOLED,6.5"",Full HD+",Android 11,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Snapdragon 720G,8 GB,128 GB,2 Nano SIM,4500 mAh,9290000,3.0,217,https://www.thegioididong.com/dtdd/samsung-galaxy-a52?src=osp,Thế giới đi động,557400000
49,Điện thoại Samsung Galaxy A32,Samsung,"Super AMOLED,6.4"",Full HD+",Android 11,"Chính 64 MP & Phụ 8 MP, 5MP, 5MP",20 MP,MediaTek Helio G80,6 GB,128 GB,2 Nano SIM,5000 mAh,6490000,3.1,743,https://www.thegioididong.com/dtdd/samsung-galaxy-a32-4g?src=osp,Thế giới đi động,538670000
88,Vivo V23e 8GB - 128GB,Vivo,"6.44 inch, AMOLED, FHD+, 1080 x 2400 Pixels",Android 11,64.0 MP + 8.0 MP + 2.0 MP ,50.0 MP ,MediaTek Helio G96,8 GB + 4 GB,128 GB,2 - 2 Nano SIM ,4050 mAh,7790000,5.0,2,https://fptshop.com.vn/dien-thoai/vivo-v23e,Cửa hàng FPT,521930000
59,Điện thoại OPPO A15s,OPPO,"IPS LCD,6.52"",HD+",Android 10,"Chính 13 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio P35,4 GB,64 GB,2 Nano SIM,4230 mAh,4290000,2.9,139,https://www.thegioididong.com/dtdd/oppo-a15s?src=osp,Thế giới đi động,493350000
188,OPPO A55,OPPO,"Android 11, ColorOS 11.1","Android 11, ColorOS 11.1","Camera góc rộng: 50 MP, f/2.2, 25mm 1/3.06"", 1.12µm, PDAF  Camera cận cảnh: 2 MP, f/2.4  Camera xóa phông: 2 MP, f/2.4","16 MP, f/2.0",MediaTek Helio G35,4 GB,64 GB,2 SIM (Nano-SIM),Li-Po 5000 mAh,4290000,0.0,0,https://cellphones.com.vn/oppo-a55.html,Cellphones,480480000
40,Điện thoại OPPO Reno4 Pro,OPPO,"AMOLED,6.5"",Full HD+",Android 10,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",32 MP,Snapdragon 720G,8 GB,256 GB,2 Nano SIM,4000 mAh,7990000,4.1,143,https://www.thegioididong.com/dtdd/oppo-reno4-pro?src=osp,Thế giới đi động,479400000
55,Điện thoại Samsung Galaxy A13 4GB,Samsung,"PLS TFT LCD,6.6"",Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Exynos 850,4 GB,128 GB,2 Nano SIM,5000 mAh,4690000,3.6,32,https://www.thegioididong.com/dtdd/samsung-galaxy-a13-4g?src=osp,Thế giới đi động,469000000
45,Điện thoại Vivo V20 (2021),Vivo,"AMOLED,6.44"",Full HD+",Android 11,"Chính 64 MP & Phụ 8 MP, 2 MP",44 MP,Snapdragon 730,8 GB,128 GB,2 Nano SIM,4000 mAh,7090000,3.2,70,https://www.thegioididong.com/dtdd/vivo-v20-2021?src=osp,Thế giới đi động,467940000
119,Samsung Galaxy A52,Samsung,"6.5 inch, Super AMOLED, FHD+, 1080 x 2400 Pixels",Android 11,64.0 MP + 12.0 MP + 5.0 MP + 5.0 MP ,32.0 MP ,Snapdragon 720G,8 GB,128 GB,2 - 2 Nano SIM ,4500 mAh,7790000,3.0,5,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a52,Cửa hàng FPT,467400000
42,Điện thoại Realme 8,Realme,"Super AMOLED,6.4"",Full HD+",Android 11,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,MediaTek Helio G95,8 GB,128 GB,2 Nano SIM,5000 mAh,7290000,3.4,159,https://www.thegioididong.com/dtdd/realme-8?src=osp,Thế giới đi động,466560000
63,Điện thoại Vivo Y21,Vivo,"IPS LCD,6.51"",HD+",Android 11,Chính 13 MP & Phụ 2 MP,8 MP,MediaTek Helio P35,4 GB,64 GB,2 Nano SIM,5000 mAh,3990000,3.3,174,https://www.thegioididong.com/dtdd/vivo-y21?src=osp,Thế giới đi động,458850000
61,Điện thoại OPPO A16,OPPO,"IPS LCD,6.52"",HD+",Android 11,"Chính 13 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G35,3 GB,32 GB,2 Nano SIM,5000 mAh,3990000,4.3,60,https://www.thegioididong.com/dtdd/oppo-a16?src=osp,Thế giới đi động,446880000
38,Điện thoại Xiaomi Mi 11 Lite,Xiaomi,"AMOLED,6.55"",Full HD+",Android 11,"Chính 64 MP & Phụ 8 MP, 5 MP",16 MP,Snapdragon 732G,8 GB,128 GB,2 Nano SIM (SIM 2 chung khe thẻ nhớ),4250 mAh,7990000,3.2,872,https://www.thegioididong.com/dtdd/xiaomi-mi-11-lite-4g?src=osp,Thế giới đi động,439450000
129,Samsung Galaxy A13,Samsung,"6.6 inch, TFT LCD, FHD+, 1200 x 2408 Pixels",2022,50.0 MP + 5.0 MP + 2.0 MP + 2.0 MP ,8.0 MP ,Exynos 850,4 GB,128 GB,Việt Nam / Trung Quốc ,2 - 2 Nano SIM ,4390000,5.0,1,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a13,Cửa hàng FPT,439000000
65,Điện thoại Nokia G10,Nokia,"TFT LCD,6.5"",HD+",Android 11,"Chính 13 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G25,4 GB,64 GB,2 Nano SIM,5050 mAh,3690000,3.2,16,https://www.thegioididong.com/dtdd/nokia-g10?src=osp,Thế giới đi động,431730000
