,Chip,Danh gia
0,Snapdragon 480  5G,4.0
1,Snapdragon 662,4.5
2,Snapdragon 678 (11 nm),4.7
3,Snapdragon 680,5.0
4,Snapdragon 680 ,4.1
5,Snapdragon 695 5G,5.0
6,Snapdragon 695 5G ,4.0
7,Snapdragon 720G,3.4
8,Snapdragon 720G (),4.6
9,Snapdragon 730,3.2
10,Snapdragon 732G,3.2
11,Snapdragon 732G (),4.7
12,Snapdragon 765G,3.5
13,Snapdragon 778G,4.2
14,Snapdragon 778G 5G ,4.1
15,Snapdragon 780G (5 nm),4.6
16,Snapdragon 8 Gen 1,5.0
17,Snapdragon 8 Gen 1 ,4.3
18,Snapdragon 855+,4.0
19,Snapdragon 865,3.2
20,Snapdragon 888,4.3
21,Snapdragon 888 (5 nm),5.0
22,Snapdragon 888 5G (5 nm),5.0
23,Snapdragon 888 Plus ,5.0
